Record ID,File Name,Assignment ID,Year,Person,Keywords,Creators,Date
207906685,PRE-EditoriaExcellence2018-222.jpg,CPR6931p,2018-04-09,"Todd Haskell,Lucy Kaylin,Nina Garcia","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Nina Garcia,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906686,PRE-EditoriaExcellence2018-117.jpg,CPR6931p,2018-04-09,Megan Twohey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906687,PRE-EditoriaExcellence2018-050.jpg,CPR6931p,2018-04-09,"Gary Ponzo,Ignacio Murillo,Erin Flaherty","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906688,PRE-EditoriaExcellence2018-116.jpg,CPR6931p,2018-04-09,Megan Twohey,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906689,PRE-EditoriaExcellence2018-097.jpg,CPR6931p,2018-04-09,Jodi Kantor,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906690,PRE-EditoriaExcellence2018-177.jpg,CPR6931p,2018-04-09,Lucy Kaylin,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906691,PRE-EditoriaExcellence2018-045.jpg,CPR6931p,2018-04-09,"Alix Campbell,Sergio Kletnoy","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906692,PRE-EditoriaExcellence2018-240.jpg,CPR6931p,2018-04-09,Madeline Frank Reeves,"People @ Work,2018,Editorial Excellence,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906693,PRE-EditoriaExcellence2018-237.jpg,CPR6931p,2018-04-09,Jay Fielden,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906694,PRE-EditoriaExcellence2018-063.jpg,CPR6931p,2018-04-09,,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906695,PRE-EditoriaExcellence2018-224.jpg,CPR6931p,2018-04-09,"Lucy Kaylin,Corrie Pikul","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906696,PRE-EditoriaExcellence2018-236.jpg,CPR6931p,2018-04-09,Jay Fielden,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906697,PRE-EditoriaExcellence2018-059.jpg,CPR6931p,2018-04-09,Unidentified,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906698,PRE-EditoriaExcellence2018-047.jpg,CPR6931p,2018-04-09,"Alix Campbell,Sergio Kletnoy","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906699,PRE-EditoriaExcellence2018-225.jpg,CPR6931p,2018-04-09,"Corrie Pikul,Lucy Kaylin","People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
207906700,PRE-EditoriaExcellence2018-238.jpg,CPR6931p,2018-04-09,Madeline Frank Reeves,"People @ Work,Editorial Excellence,2018,Hearst Magazines,Events,Hearst magazines,Magazines,44th Floor,magazines,Editorial Excellence 2018",,
